"id","generated_procedure_name","generated_procedure_description","procedure_name"
790,"Whole-body positron emission tomography (PET) scan","Whole-body positron emission tomography (PET) scan","pet skull base to midthigh"
791,"Otoacoustic Emissions Screening Automated Analysis","OAE screening auto anlys is a medical procedure used for hearing screening in infants and young children. It involves measuring the otoacoustic emissions (OAE) or sound waves produced by the inner ear in response to a sound stimulus. Auto analysis refers to the automated system used to interpret the OAE results.","oae screening auto anlys"
792,"Imaging study for fistula or sinus tract abscess.","No Description","ct fistula or sinus tract abscess study"
793,"A non-invasive scan to look at the left shoulder.","This is a diagnostic imaging test called a CT scan of the left shoulder without the use of contrast dye. It uses X-ray technology and computer processing to create detailed images of the shoulder bones, joints, and surrounding tissues.","ct shoulder w/o contrast left"
794,"Cervical Spine CT Scan with and without Contrast.","CT spine cervical w/ + w/o contrast is a medical procedure that involves the use of computer technology and X-rays to produce images of the cervical spine (neck area) with the aid of intravenous contrast material. These images can help diagnose problems such as herniated disks, nerve root compression, fractures, and tumors. The “w/ + w/o contrast” means that the scan involves both with and without contrast images.","ct spine cervical w/ + w/o contrast"
795,"MRI of left upper limb with and without contrast.","This is a medical imaging procedure called magnetic resonance imaging (MRI) of the upper extremity (arm) with and without contrast (dye) on the left side.","mri upper extremity w/ + w/o cnt left"
796,"MRI of the left lower extremity without contrast.","MRI (Magnetic Resonance Imaging) is a medical imaging test that uses a magnetic field and radio waves to create detailed images of the body's organs and tissues. Lower extremity w/o contrast left means that the MRI is focused on the left leg, from hip to ankle, and it will not involve the use of any contrast agents (dye) to enhance the images.","mri lower extremity w/o contrast left"
797,"MRI with and without contrast of the right wrist.","This is a medical imaging procedure called magnetic resonance imaging (MRI) of the right wrist with and without contrast. It uses a powerful magnetic field and radio waves to create detailed images of the inside of the wrist joint. The contrast material is a type of dye that is injected into a vein in the arm to improve visualization of certain structures.","mri wrist w/ + w/o contrast right"
798,"Left wrist CT arthrogram with contrast injection.","A CT arthrogram wrist injection is a medical procedure used to diagnose joint problems in the wrist. It involves injecting contrast dye into the joint space followed by a CT (computed tomography) scan to create detailed images of the internal structures of the joint. This procedure is commonly used to diagnose conditions such as ligament or tendon tears, cartilage injuries, or bone fractures in the wrist.","ct arthrogram wrist injection left"
799,"Parathyroid Scintigraphy with SPECT Delay Imaging","Parathyroid Scintigraphy with SPECT Delay Imaging","nm parathyroid imaging w/ spect delay 2"
800,"Single-level injection of the lumbar facet joint.","This is a medical procedure involving a single-level injection of the facet joint in the lumbar spine. It is typically used to diagnose and treat pain and inflammation in this area.","inject facet jnt l/s single-lvl*"
801,"Brachiocephalic Artery Angiography, Second Order.","Brachiocephalic Artery Angiography, Second Order.","select cath art - brach-ceph 2nd order"
802,"Breast MRI with and without contrast, unilateral.","This medical procedure is an MRI (magnetic resonance imaging) of the breast without and with contrast unilaterally, meaning only one breast will be imaged.","mri breast w/o + w/cont unilat"
803,"Endoluminal biopsy of the ureter or renal pelvis.","Endoluminal biopsy of the ureter or renal pelvis.","ureter/renal pelvis biopsy endolum*"
804,"Tunneled Catheter with Cuff for Pulmonary Removal","This is a medical procedure where a catheter with a cuff is placed into the pulmonary artery and tunneled underneath the skin to deliver medication or fluids directly into the bloodstream. The cuff helps to hold the catheter in place and prevent it from slipping out of position. The procedure may be used to monitor pulmonary pressures or to deliver medications to treat pulmonary hypertension or other heart and lung conditions.","pulmonary removal tunneled cath w cuff"
805,"CT-guided Pudendal Nerve Radiofrequency Ablation.","The medical procedure is Radiofrequency Ablation (RFA) of the Pudendal Nerve using CT guidance. This is a minimally invasive procedure used to treat chronic pelvic pain that is caused by pudendal neuralgia, a condition where the pudendal nerve, which supplies the pelvic floor muscles, becomes inflamed or compressed. RFA involves applying heat energy to the nerve to damage it and interrupt the pain signals it carries. CT guidance is used to ensure accurate placement of the RFA electrodes.","ct ablation pudendal nerve rf"
806,"Brain Venography through Computed Tomography (CT)","This is a medical procedure where a computed tomography (CT) scan is used to visualize the veins in the brain, known as a CT venogram of the brain. It is typically done to diagnose conditions such as blood clots or other abnormalities in the brain's venous system.","ct venogram brain"
807,"Chlorine Screening Test for Hydrocarbon Exposure.","Chlorine Screening Test for Hydrocarbon Exposure.","chlorinated hydro, screen"
808,"Small Plate Reconstruction for Long Bone Fracture","No Description","plate reconstruct 2.4x159m 20hl 449.70"
809,"Fiber laser-assisted Holmium Micron 400 treatment","Fiber laser-assisted Holmium Micron 400 treatment","fiber laser holmium micron 400"
810,"Oval Hernia Repair with XL Ventral Patch: 7.7x9.7","This is a medical procedure for repairing a ventral hernia using a patch that is oval-shaped and sized 7.7x9.7 cm (XL).","patch hernia ventrio st xl oval 7.7x9.7"
811,"Selective Spacing of Hip Joint - Stage One - 48mm","Selective Spacing of Hip Joint - Stage One - 48mm","spacer hip stage one select 48mm"
812,"MRI-guided rod dynamization for fracture healing.","MRI-guided rod dynamization for fracture healing.","rod dynamization hoff2 4921-0-000 mri"
813,"Flexiva 365 Micron Fiber Laser Treatment (5 pack)","Flexiva 365 Micron Fiber Laser Treatment (5 pack)","fiber laser flexiva 365 micron 5/bx"
814,"Sterile Everest Precision Scalpel Blade Procedure","Medical Procedure: No Description. The keywords mentioned seem to be associated with surgical tools, but they do not provide any indication of the medical procedure being performed.","scalpel blade perfect everest mi sterile"
815,"Balloon Catheterization with Admiral 7x40mmx130cm","Balloon Catheterization with Admiral 7x40mmx130cm","balloon inpact admiral 7x40mmx130cm"
816,"Endoscopic Hemostatic Spray using a 7-Fr Hemostat","The medical procedure is endoscopic hemospray, which involves the use of a 7fr hemostat to spray a substance on bleeding tissue in the digestive tract to stop bleeding.","hemostat endoscopic hemospray 7fr"
817,"Laser-assisted reduction of urethral obstruction.","Laser-assisted reduction of urethral obstruction.","laser fiber reduced buffer unstripped 600u"
818,"Quick Connect Yellow Drill for Precision Surgery.","Quick Connect Yellow Drill for Precision Surgery.","bit drill 2.5x20mm quick connect yellow"
819,"AlloDerm Select Graft 8x16, Thickness 2.0mm-2.8mm","This is a medical procedure for grafting tissue using a product called Alloderm Select, which comes in the size of 8x16 with a thickness of 2.0-2.8. It is unclear what specific type of tissue or area of the body this procedure would be used for.","graft alloderm select 8x16-thk 2.0-2.8"
820,"Continuous Infusion Therapy using Ambu Block Pump","No description.","ambu action block pump 5-15 ml/hr"
821,"CT scan of the left upper limb without contrast.","This medical procedure is a CT scan (Computed Tomography) of the upper extremity (arm and shoulder) without the use of contrast dye, specifically focusing on the left side. It is an imaging test that uses X-ray equipment to produce detailed images of the bones, muscles, blood vessels, and other soft tissues of the upper extremity.","ct upper extremity w/o contrast left"
822,"CT scan with contrast for right arm and shoulder","The medical procedure is a CT scan of the upper extremity with contrast on the right side. A CT scan uses X-rays and computer technology to create detailed images of the body. Contrast is a dye that is injected into the body to make the tissues and blood vessels more visible. This scan is used to diagnose and evaluate conditions such as injuries, infections, or abnormalities in the arms, shoulders, and hands.","ct upper extremity w/ contrast right"
823,"Brain scan with and without contrast agent (MRI)","This is a medical imaging procedure that uses magnetic fields and radio waves to create images of the brain. w/ + w/o contrast refers to the use of a contrast agent (a substance that enhances the visibility of certain tissues or blood vessels) during the procedure.","mri brain w/ + w/o contrast"
824,"MRI with and without contrast of the right elbow","This is a medical imaging procedure called MRI (Magnetic Resonance Imaging) which is used to visualize the internal organs and tissues of the body. Specifically, this procedure is MRI of the elbow with and without contrast done on the right side of the body. Contrast is a substance that is injected into the body to enhance the visibility of certain tissues or organs during imaging.","mri elbow w/ + w/o contrast right"
825,"MRI of the Left Ankle with and without Contrast.","This medical procedure is a magnetic resonance imaging (MRI) scan of the left ankle with and without contrast. The contrast is a substance that is injected into the body to help highlight certain areas during the scan.","mri ankle w/ + w/o contrast left"
826,"MRI of Right Shoulder with and without Contrast.","MRI (Magnetic Resonance Imaging) is a medical imaging procedure that uses strong magnetic fields and radio waves to produce images of the body's internal structures. In this specific case, an MRI is being performed on the right shoulder with both contrast and without contrast to help diagnose any potential issues, such as a torn rotator cuff or labrum tear, osteoarthritis, or other soft tissue injuries. The contrast agent helps provide better visualization of any abnormalities.","mri shoulder w/ + w/o contrast right"
827,"Full abdominal and pelvic scan with contrast dye","This medical procedure is a diagnostic imaging test that uses computerized tomography (CT) scan technology to examine the abdomen and pelvis with the use of a contrast agent. The contrast agent is injected into a vein in the arm, which helps highlight the blood vessels and organs in the scanned area. The CT scan captures detailed images that are used to diagnose medical conditions such as tumors, infections, and other abnormalities in the abdominal and pelvic regions.","ct abdomen and pelvis w/ contrast"
828,"Parathyroid SPECT Imaging with Delayed Scanning.","Parathyroid SPECT Imaging with Delayed Scanning.","nm parathyroid imaging w/ spect delay 3"
829,"Intermediate Joint Arthrocentesis with Injection","This is a medical procedure known as an intra-articular injection. It is a treatment for joint pain and inflammation where medication is injected directly into the affected joint. Arthrocen may refer to a specific type of medication used in the injection.","arthrocen/inject intrmd jnt"
830,"Cervical Spine Imaging after Myelogram Injection","This medical procedure involves injecting a contrast dye into the space around the spinal cord in the neck region (cervical) and then imaging the spinal cord and surrounding structures using X-ray or CT scans. It is called a myelogram cervical inject & imaging.","myelogram cervical inject & imaging*"
831,"Subcutaneous Defibrillator Electrode Extraction.","This is a medical procedure where a subcutaneous defibrillator electrode is removed. The subcutaneous defibrillator electrode is a device that helps to deliver electrical shocks to the heart to correct abnormal heart rhythms. The removal process involves the removal of the electrode from the patient's body.","removal subq defibrillator electrode"
832,"Digital mammogram screening of the right breast.","This is a medical procedure known as mammography, which uses digital screening to detect breast cancer.","mammo digital screening right"
833,"Digital screening mammography of the left breast","This is a medical imaging procedure called mammography, using digital technology to screen and examine the left breast for any signs of abnormalities or possible cancer.","mammo digital screening left"
834,"MRI-Compatible Single-Chamber Pacemaker Implant.","This medical procedure is a pacemaker single chamber implant that is MRI compatible. It involves the surgical placement of a pacemaker device that regulates the heartbeat in a single chamber of the heart. This particular pacemaker is MRI compatible, meaning that patients with the device implanted can safely undergo MRI scans as needed.","pacemaker single chamber implant mri compatible"
835,"Bilateral Injection of Facet Joint at Level C/T1","This medical procedure involves injecting both sides of a single level of the cervical (neck) spine facet joint. It is used to relieve pain and inflammation in the joint.","inject facet jnt c/t 1-level bilat*"
836,"Full body magnetic resonance imaging (MRI) Scan.","MRI (Magnetic Resonance Imaging) Whole Body is a medical imaging technique used to visualize internal structures of the body in detail. It uses a strong magnetic field and radio waves to produce images of organs, tissues, bones and other structures within the body. It is a non-invasive diagnostic tool that can help detect abnormalities or diseases such as tumors, infections, inflammation, or injuries. The procedure typically takes about 30-60 minutes and requires the patient to lay down inside a large tube-shaped machine.","mri whole body"
837,"Stool Culture with Additional Pathogens Detected","Stool Culture with Additional Pathogens Detected","cultre,stool,addn pathgns"
838,"Oval Ventral Hernia Repair using a 11x14cm Patch","No Description","patch hernia ventrio med oval 11x14cm"
839,"Laser Fiber Surgery for General Medical Purposes","Laser Fiber Surgery for General Medical Purposes","fiber laser omni-001-011"
840,"Knee Wedge Resection with NexGen Tibial Implant.","Knee Wedge Resection with NexGen Tibial Implant.","knee tibial nexgen a/p wedged prct ti"
841,"Reusable Gun Cortoss Bone Augmentation Procedure","Reusable Gun Cortoss Bone Augmentation Procedure","gun cortoss bone augmentation reusable"
842,"MRI-guided implantation of coupling rod to tube.","No Description","coupling rod to tube hii mri 4921-1-100"
843,"Tibial Knee Augmentation with 5mm Size 5 Implant","Tibial Knee Augmentation with 5mm Size 5 Implant","knee tibial augmentation sz5 5mm"
844,"Achilles Midsubstance Speedbridge Repair Surgery","This is a medical procedure used to repair a torn Achilles tendon at its mid-substance using a technique called SpeedBridge. It involves using a suture anchor to anchor the tendon to the bone and then wrapping it with a strong suture material to provide added support and stability during healing.","kit repair achilles midsubstance speedbridge"
845,"Laser Fiber Treatment for Flexiva at 550 Microns","Laser Fiber Treatment for Flexiva at 550 Microns","fiber laser flexiva 550 micron"
846,"Rigid Endoscopic Aerosol Tip Applicator - 5x16mm","Rigid Endoscopic Aerosol Tip Applicator - 5x16mm","tip applicator rigid endoscopic aerosol 5x16mm"
847,"Fiber Laser Ear Treatment 130cm (Model OB-130-1)","Fiber Laser Ear Treatment 130cm (Model OB-130-1)","fiber laser otobeam 130 cm ob-130-1"
848,"Quick Connect Adapter for Hudson 1/4 Inch Tubes.","Quick Connect Adapter for Hudson 1/4 Inch Tubes.","adapter hudson quick connect 1/4in"
849,"Precision Dissection with Ligasure Exact LF2019.","The medical procedure is Ligasure Dissector Exact LF2019, which is a surgical tool used for sealing and cutting tissue during surgeries. It uses radiofrequency energy to seal blood vessels and tissue, resulting in less bleeding and quicker healing times for the patient.","ligasure dissector exact lf2019"
850,"Purple Quick Connect Drill for Precise Incisions","Purple Quick Connect Drill for Precise Incisions","bit drill quick connect 1.7x100mm purple"
851,"Submucosal Lift with Orise Gel using Kit Syringe","Submucosal lifting agent is a medical procedure where a gel or other substance is injected underneath the lining of the gastrointestinal tract, typically to create a space for endoscopic procedures such as polyp removal. It is often performed using a syringe or kit that contains the lifting agent.","kit syringe orise gel submucosal lifting agent"
852,"Repair of meniscal root with Ultrabraid packing.","The medical procedure is pack repair of the meniscal root with ultrabraid, which is a surgical procedure to repair a torn meniscus in the knee joint using ultrabraid, a strong, braided suture material, to reattach the torn meniscal root to the bone.","pack repair meniscal root w/ultrabraid"
853,"BK-0 Plasma Solution for Pre-Blood Pump Infusion","BK-0 Plasma Solution for Pre-Blood Pump Infusion","prismasol bgk0/2.5 for replacement or pre-blood pump 5,000 ml"
854,"Bilateral CT scan of the feet without contrast.","This is a medical imaging procedure called CT of the foot without contrast, bilateral. It involves using computed tomography (CT) imaging to generate detailed images of both feet without the use of contrast dye. This type of procedure may be used to diagnose a range of foot problems, including fractures, tumors, infections, and other abnormalities.","ct foot w/o contrast bilateral"
855,"CT Lumbar Spine Scan with and without Contrast.","This is a medical imaging test called a CT scan that is used to examine the lower back (lumbar spine) region. The test involves taking multiple x-ray images of the spinal area from various angles, and using a contrast dye in some cases to help highlight certain structures or areas of concern.","ct spine lumbar w/ + w/o contrast"
856,"CT scan of both legs with and without contrast.","This is a medical imaging procedure called CT (computed tomography) scan of lower extremities with and without contrast bilaterally. It involves taking images of the legs, thighs, and hips with the help of X-rays and computed tomography technology to detect abnormalities, injuries, or other medical conditions. Contrast dye may be introduced into the patient's bloodstream to enhance the visibility of blood vessels and soft tissues on the images.","ct lower extremity w/+w/o contrast bilat"
857,"CT scan of the chest with and without contrast.","This is a medical imaging procedure that involves taking a CT (computed tomography) scan of the chest (thorax) using both contrast and non-contrast materials. The contrast material is a dye that is injected into the patient's bloodstream to help the radiologist visualize certain structures or abnormalities in greater detail. The non-contrast part of the scan provides images of the chest without the use of contrast material. This procedure is often used to diagnose or monitor conditions such as lung cancer, pneumonia, and pulmonary embolism.","ct thorax w/ + w/o contrast"
858,"MRI of the left hand with and without contrast.","This is a medical imaging procedure that involves taking images of the left hand using MRI (magnetic resonance imaging) technology. The procedure can be performed with or without contrast, which refers to the use of a special dye to make certain tissues or structures more visible on the scans.","mri hand w/ + w/o contrast left"
859,"Bilateral lower extremity MRI without contrast.","This medical procedure is an MRI (magnetic resonance imaging) of the lower extremities (legs) without contrast on both sides.","mri lower extremity w/o contrast bilat"
860,"Complete Vestibular Evaluation (CPT code 92540)","This is a medical procedure called a complete vestibular evaluation, which involves testing the function of the inner ear and its connections to the brain to assess balance and dizziness issues. The procedure is coded as 92540.","vestibular evaluation complete 4 92540"
861,"Ultrasound Abdominal Aortic Aneurysm Screening.","No description.","us aaa screening"
862,"Computed Tomography (CT) Scan for Kidney Stones","CT stone protocol is a medical imaging procedure that uses computed tomography (CT) to detect and diagnose kidney stones. The protocol involves taking multiple scans of the abdominal area at various angles to create a detailed image of the urinary tract, which helps identify the size, shape, location, and composition of the stones. This information is critical for planning an effective treatment strategy, such as lithotripsy (using shockwaves to break up stones), ureteroscopy (using a small tube to remove the stone), or surgery. The CT stone protocol is a quick, non-invasive, and highly accurate method for diagnosing kidney stones.","ct stone protocol"
863,"Parathyroid SPECT/CT Imaging with 1-Hour Delay.","Parathyroid SPECT/CT Imaging with 1-Hour Delay.","nm parathyroid image w/ spect/ct delay 1"
864,"Venous Fluroscopy Injection of the Extremities.","Venous Fluroscopy Injection of the Extremities.","inject extrem venogram ns "
865,"Abscess/Fistula/Sinus Tract Swab and Inspection","This medical procedure is called abscess/fistula/sinus tract s&i or incision and drainage (I&D) of an abscess or fistula with exploration of a sinus tract. It involves making an incision in the skin to drain pus or fluid from an abscess or fistula, and exploring the sinus tract to identify any underlying causes or infections. This procedure is performed to relieve pain, prevent the spread of infection, and promote healing.","abscess/fistula/sinus tract s&i"
866,"Liver Tissue Sampling using X-ray Guided Biopsy","The medical procedure is a liver biopsy, which involves removing a small piece of tissue from the liver for diagnostic purposes. X-rays may be used to guide the biopsy needle into the liver.","xr biopsy liver"
867,"Removal of Catheter Used for Bile Duct Drainage","The medical procedure is biliary catheter removal after drainage. This is the removal of a thin tube or catheter that has been inserted into the bile duct to drain fluids that may have built up due to blockages or other issues.","drainage biliary cath removal*"
868,"Low-Dose CT Follow-Up Screening for Lung Cancer","This is a medical procedure called low dose CT scan used for follow-up of lung cancer. The aim of this procedure is to find early-stage lung cancer before symptoms appear. It involves the use of low radiation doses to capture images of the lungs, which doctors use to identify early-stage tumors.","ct lung cancer f/u low dose"
869,"Surgical Removal of Right Heart Venous Cannula.","The surgical procedure is the removal of the right heart ventricular assist device (VAD) venous cannula, which is a tube inserted into the heart to aid in pumping blood in people with heart failure.","removal rt heart vad venous cannula"
870,"CT Air-O Intraoperative Brain Without Contrast.","CT Air-O Intraoperative Brain Without Contrast.","ct airo intraop brain w/o"
871,"10cm Bone Biopsy Procedure with 11-Gauge Needle","This is a medical procedure called a bone biopsy, which involves using a needle to extract a small sample of bone tissue for diagnostic or investigative purposes. The m2 set 11ga 10cm refers to the type and size of the needle used in the procedure.","needle bone biopsy m2 set 11ga 10cm"
872,"Gentle Tissue Removal using MyoSure Lite Device","MyoSure Lite is a medical procedure that uses a device to remove tissue from the uterus, often used to treat abnormal uterine bleeding or remove uterine fibroids.","device tissue removal myosure lite"
873,"Laser Shield Tube II Procedure (6.0mm Diameter)","Laser Shield Tube II Procedure (6.0mm Diameter)","laser shield tube ii 6.0mm 70-60300"
874,"20mm Curved Thin-bladed Osteotome MRI Procedure","20mm Curved Thin-bladed Osteotome MRI Procedure","blade osteotome thin mri 20mm curved"
875,"Mini Tightrope Repair Procedure - AR-8913DS Kit","Mini Tightrope Repair Procedure - AR-8913DS Kit","kit repair mini tight rope ar-8913ds"
876,"Injecting 10cc of Filler into Callos Bone Void.","This is a medical procedure known as filling of a bone void where a substance (such as a bone graft) is injected into a cavity in a bone to promote healing and growth. The 10cc refers to the amount of substance being injected.","filler callos bone void inject 10cc"
877,"Lead Placement for a Cardiac Monitoring Device.","Lead Placement for a Cardiac Monitoring Device.","kit lead compact 1x8 45cm"
878,"Umbilical Hernia Repair with 5cm Surgisis Graft","No Description","graft hernia umbilical surgisis 5cm"
879,"X-Large Oval Ventral Hernia Patch - 10.8 Inches","X-Large Oval Ventral Hernia Patch - 10.8 Inches","patch hernia ventrio 10.8in xl oval"
880,"Hernia Repair with Surgimend 2.0 Mesh (13x25cm)","This is a medical procedure called Mesh SurgiMend 2.0 hernia repair, which involves using a mesh material called SurgiMend 2.0 to repair a hernia. The size of the mesh in this case is 13x25cm.","mesh surgimend 2.0 hernia repair 13x25cm"
881,"Speedy Achille's Bridge Repair with Peek System","This is a surgical procedure for repairing a ruptured Achilles tendon using a SpeedBridge™ system, which involves using a small anchor and strong suture material to reattach the ends of the torn tendon. The kit used may include medical devices such as peek implants or screws for added support.","kit repair achilles speedbridge sys peek"
882,"fiber laser flexiva id tractip 200 m006r8403961","No Description","fiber laser flexiva id tractip 200 m006r8403961"
883,"Skin Tissue Transplant with Alloderm Select Duo","This is a medical procedure involving the use of Alloderm Select Duo Perforated 16x20cm Med, which is a type of graft material. The procedure likely involves the transplantation of this material onto a patient's body to repair or replace damaged tissue.","graft alloderm select duo perf 16x20cm med"
884,"Endoscopic Overstitch Suturing Procedure (EOSP)","This is a medical procedure called System Endoscopic Suturing Overstitch Surgery. It is a minimally invasive technique that uses an endoscope to suture and stitch internal tissues, organs, and structures found in the digestive system. This procedure can be used to treat conditions such as obesity, gastroesophageal reflux disease (GERD), and other gastrointestinal disorders. It is generally a safe and effective alternative to more invasive surgical procedures.","system endoscopic suturing overstitch sx"
885,"Fiber Laser Treatment for Ear Disorders (FLTED)","No description.","fiber laser beampath m 150 oto-m"
886,"The Status Connect System Analytical Procedure.","The Status Connect System Analytical Procedure.","analyzer clinitek status connect system"
887,"Computed Tomography Angiography (CTA) of the Pelvis.","CT Angiography (CTA) of the pelvis is a medical imaging procedure that uses computed tomography (CT) to produce detailed images of blood vessels in the pelvis. It allows doctors to detect and diagnose blood vessel abnormalities, such as blockages or aneurysms, using a contrast dye injected into the patient's bloodstream. CTA is a minimally invasive diagnostic test that can help guide treatment decisions and monitor the progress of certain conditions.","ct angio pelvis"
888,"MRI of the Right Hip with and without Contrast","This is a medical imaging procedure where magnetic resonance imaging (MRI) is used to obtain detailed images of the hip joint. The procedure may be done with and without the use of a contrast agent to enhance the images. It is being done on the right hip.","mri hip w/ + w/o contrast right"
889,"MRI with contrast of the left lower extremity.","This medical procedure is a type of imaging study that uses magnetic fields and radio waves to create detailed pictures of the lower body, specifically the left leg or limb. The addition of contrast refers to the injection of a special dye into the bloodstream to provide enhanced images of blood vessels and other soft tissues.","mri lower extremity w/ contrast left"
890,"MRI of the Left Knee with and without Contrast","This is a medical imaging procedure called magnetic resonance imaging (MRI) of the left knee with and without contrast. Contrast is a special dye that may be injected into the body to enhance the visibility of certain tissues or structures during the MRI scan.","mri knee w/ + w/o contrast left"
891,"Epidural CT Injection for Lower Back and Spine","This is a medical procedure called Lumbar/Scral Epidural Injection, which involves injecting medication into the space around the spinal cord in the lower back to relieve pain and inflammation. The injection is guided by a CT scan for accuracy.","ct injection lmbr/scrl epidural"
892,"Lower Abdomen and Pelvis 3rd+ Artery Selection","Lower Abdomen and Pelvis 3rd+ Artery Selection","select art abd/pel/lwr 3rd+"
893,"Breast MRI with Computer-Aided Detection (CAD)","MRI breast CAD (Computer-Aided Detection) is a medical imaging procedure using magnetic resonance imaging (MRI) to produce detailed images of the breast tissue. CAD is a technology that uses computer algorithms to assist radiologists in detecting and locating abnormalities in the breast tissue. It is a screening tool for breast cancer detection and can also be used to assess the extent of the tumor, guide diagnosis and treatment, and monitor the response to treatment.","mri breast cad"
894,"Unilateral Carotid/Innominate Artery Excision.","No Description","select carotid/innom excr uni*"
895,"Lung or Mediastinal Tissue Sampling Procedure.","A biopsy of the lung or mediastinum is a medical procedure in which a small sample of tissue is removed from the lung or the area between the lungs (mediastinum) for microscopic examination. This test is typically done to diagnose lung cancer, infections, or other lung diseases. It is typically done using a needle or a bronchoscope, a thin, flexible tube with a camera and microscope attached.","biopsy lung or mediastinum*"
896,"Extraction of Dual-Lead System's PM Electrodes","This medical procedure involves removing one or more permanent pacemaker electrodes from a patient's body. Specifically, it refers to the removal of electrodes in a dual lead system. A pacemaker is a small device that helps regulate the heartbeat by sending electrical impulses to the heart muscle. The electrodes are thin wires that are threaded through a vein and into the heart to deliver the electrical signals from the pacemaker to the heart muscle. In some cases, these electrodes may need to be removed due to infection, damage, or other medical reasons.","removal pm electrode(s)-dual lead sys"
897,"Induction of Arrhythmia and Electrical Pacing.","Induction of Arrhythmia and Electrical Pacing.","induct arrhy elec pacing"
898,"X-Ray Scoliosis View of the Spine (4-5 angles)","This medical procedure involves taking X-ray images of the spine to assess for scoliosis from four to five different angles.","xr spine scoliosis 4-5 views"
899,"Injecting Anesthetic into Ilioinguinal Nerves.","This is a medical procedure called an ilioinguinal nerve block or injection. It involves injecting an anesthetic medication into the ilioinguinal nerves to numb the area and relieve pain, typically in the groin or lower abdomen region. This procedure is commonly performed during certain surgical procedures, such as hernia repair or a C-section, to reduce postoperative pain.","inject anes ilioinguinal nerves"
900,"Limited metastasis follow-up MRI of the brain.","This is a medical imaging procedure called an MRI (magnetic resonance imaging) of the brain with contrast and limited metastasis follow-up. It is used to detect any abnormalities in the brain, including the presence of cancer metastases that may have spread from other parts of the body.","mri brain w/cnt ltd mets follow up"
901,"Bone Augmentation with Cartridge Cortoss, 10cc","This is a medical procedure called cartridge cortoss 10cc bone augmentation that involves using a bone cement-like substance called cortoss to augment or fill in bone defects or voids. It is typically used in orthopedic surgeries, particularly in cases of vertebral compression fractures or other types of bone fractures. The cortoss material is delivered via a cartridge or syringe-type applicator into the affected area to provide structural support and stability to the bone.","cartridge cortoss 10cc bone augmentation"
902,"Precision imaging-guided bone fragment removal","Precision imaging-guided bone fragment removal","blade osteotome thin mri 20mmx3"
903,"Kugel Mesh Hernia Repair Patch, 10.2cm x 4.0in","This is a medical procedure involving the use of a hernia patch made of mesh material, specifically the Kugel 10.2cmx4.0in patch. The mesh is placed over the hernia defect to strengthen the tissue and prevent it from recurring.","mesh hernia patch kugel 10.2cmx4.0in"
904,"Fiber Laser Ear Surgery - OMNI Guide Procedure","Fiber Laser Ear Surgery - OMNI Guide Procedure","fiber laser omniguide oto omni001-001"
905,"Hernia Repair with SurgiMend 2.0 Mesh, 20x25cm","This is a surgical procedure for repairing a hernia using a mesh product called SurgiMend 2.0, which is 20x25cm in size. The mesh is used to reinforce the area of the hernia and promote tissue regeneration for long-term strengthening of the affected area.","mesh surgimend 2.0 hernia repair 20x25cm"
906,"Customized Implant for Cranial Defect Surgery.","This is a medical procedure called Implantation of a custom-made cranial prosthesis for correction of a cranial defect. It involves surgically placing a synthetic implant to replace a missing portion of the skull due to injury or surgery.","implant cranial peek defect custom med"
907,"Removal of 11mm Debris Using Reaming Technique","Removal of 11mm Debris Using Reaming Technique","reamer coring removal 11mm"
908,"Minimally Invasive MRI-Guided Hip Bone Biopsy.","Minimally Invasive MRI-Guided Hip Bone Biopsy.","hip trephine 11.0mm 8in id mri non-ster"
909,"Single-Use Fiber Laser Treatment at 940 Micron","Single-Use Fiber Laser Treatment at 940 Micron","fiber laser 940 micron single use"
910,"Ultrasound-guided fine needle aspiration (FNA)","This medical procedure is needle aspiration using a 22 gauge needle guided by ultrasound technology.","needle aspiration 22ga ultrasound"
911,"Laser Fiber Therapy or Coaxial Laser Treatment","Laser Fiber Therapy or Coaxial Laser Treatment","fiber laser coaxial 0.6mmx12 10-2221"
912,"Tip Micro Claw Bone Sonopet Dissection (25kHz)","Tip Micro Claw Bone Sonopet Dissection (25kHz)","tip micro claw bone 25khz sonopet disp"
913,"Electrode Grid Brain Mapping with 32 Contacts.","No description.","electrode grid cortac 32 contact 2110-32-064"
914,"MRI-guided Placement of Azure IPG XT DR Device","This is a medical device used in deep brain stimulation called Azure IPG (Implantable Pulse Generator) XT DR MRI.","device azure ipg xt dr mri"
915,"12mm Capsular Ring Insertion with Ring Tension","12mm Capsular Ring Insertion with Ring Tension","ring tension capsular ringject 12mm"
916,"Achilles Speedbridge Repair with Jumpstart Kit","This is a medical procedure used to repair the Achilles tendon using a device called the SpeedBridge with the JumpStart technique. The procedure involves attaching the SpeedBridge to the heel bone and threading stitches through the Achilles tendon to the SpeedBridge to secure it in place. The JumpStart technique helps to reduce stress on the tendon during healing.","kit repair achilles speedbridge w/jumpstart"
917,"8-Point Electrode Strip for Neural Stimulation","8-Point Electrode Strip for Neural Stimulation","electrode strip 8 contact 2102-08-032"
918,"Brain Mapping Procedure with 64 Electrode Grid","Medical Procedure: Placement of an electrode grid with 64 contacts (2110-64-109) for brain mapping or monitoring of electrical activity in the brain.","electrode grid 64 contact 2110-64-109"
919,"Double-sided 4-Contact Cortac Electrode Strip.","No description.","electrode strip cortac 4 contact double sided pl"
